,OutcomeType,Age,Size,HasName,TimeofDay,WeekDay,IsIntact,Sex,PureMixedHybrid,Group,IsMixColor
4473,Adoption,1,0,Yes,lateday,Saturday,No,Female,Mixed,Toy,Yes
26567,Adoption,0,2,No,lateday,Sunday,No,Female,Mixed,Herding,No
18204,Transfer,0,1,No,lateday,Sunday,Yes,Female,Mixed,PitBull,Yes
11375,Adoption,0,1,No,midday,Thursday,No,Female,Mixed,Herding,No
4586,Return to Owner,1,0,Yes,lateday,Wednesday,No,Male,Hybrid,Toy,No
12263,Return to Owner,1,0,Yes,lateday,Sunday,No,Male,Hybrid,Toy,No
23319,Return to Owner,0,0,Yes,lateday,Saturday,No,Female,Mixed,Hound,Yes
16750,Return to Owner,2,0,Yes,midday,Thursday,No,Male,Mixed,Toy,Yes
18640,Adoption,1,1,Yes,midday,Sunday,No,Male,Mixed,Hound,No
21834,Return to Owner,1,0,Yes,lateday,Sunday,No,Female,Mixed,NonSporting,No
7641,Transfer,0,0,Yes,morning,Thursday,No,Male,Mixed,Toy,Yes
32436,Adoption,0,1,Yes,lateday,Sunday,No,Male,Mixed,Sporting,No
3140,Adoption,1,1,Yes,midday,Friday,No,Male,Pure,Herding,No
11362,Adoption,0,1,Yes,lateday,Wednesday,No,Female,Hybrid,Sporting,Yes
14655,Adoption,0,2,Yes,lateday,Friday,No,Female,Mixed,Herding,No
25386,Return to Owner,1,1,Yes,lateday,Thursday,Yes,Male,Mixed,Terrier,Yes
671,Adoption,1,0,Yes,midday,Tuesday,No,Male,Mixed,Toy,Yes
23298,Return to Owner,2,1,Yes,midday,Saturday,No,Female,Hybrid,Working,Yes
18185,Transfer,0,0,No,midday,Sunday,Yes,Female,Mixed,Terrier,Yes
2573,Transfer,0,1,No,midday,Sunday,Yes,Female,Mixed,Working,Yes
25015,Adoption,2,0,Yes,midday,Saturday,No,Female,Mixed,Toy,No
5514,Adoption,2,0,Yes,midday,Saturday,No,Female,Mixed,Terrier,No
27852,Adoption,0,1,Yes,lateday,Sunday,No,Female,Mixed,PitBull,No
25891,Return to Owner,0,1,Yes,lateday,Monday,Yes,Female,Mixed,PitBull,Yes
15680,Return to Owner,2,2,Yes,midday,Wednesday,No,Female,Pure,Sporting,No
12899,Adoption,0,1,Yes,midday,Friday,No,Male,Hybrid,Herding,Yes
24468,Adoption,1,1,Yes,midday,Sunday,No,Female,Mixed,PitBull,No
11760,Transfer,1,0,Yes,midday,Thursday,No,Female,Mixed,Hound,No
9373,Transfer,0,0,Yes,midday,Thursday,No,Female,Mixed,Terrier,Yes
23797,Return to Owner,2,0,Yes,midday,Wednesday,No,Female,Pure,Toy,No
10307,Return to Owner,2,0,Yes,midday,Monday,Yes,Female,Mixed,Toy,No
16249,Return to Owner,1,1,Yes,midday,Tuesday,No,Female,Mixed,Herding,No
19469,Euthanasia,1,0,No,midday,Tuesday,Yes,Female,Mixed,Toy,No
11614,Return to Owner,2,1,Yes,morning,Saturday,No,Female,Mixed,Working,No
18147,Transfer,0,0,Yes,midday,Saturday,Yes,Female,Mixed,Hound,Yes
15183,Adoption,0,1,No,night,Saturday,No,Female,Mixed,Sporting,No
30189,Return to Owner,0,1,Yes,midday,Saturday,No,Female,Mixed,Working,Yes
30584,Adoption,1,1,Yes,midday,Saturday,No,Female,Mixed,Herding,Yes
14088,Adoption,0,3,Yes,lateday,Sunday,No,Female,Hybrid,Working,No
